{'loss': 2.2104, 'grad_norm': 1.293091893196106, 'learning_rate': 0.00022500000000000002, 'epoch': 0.16}
{'loss': 1.5601, 'grad_norm': 1.4051076173782349, 'learning_rate': 0.000425, 'epoch': 0.32}                                               
{'loss': 1.1896, 'grad_norm': 2.0563478469848633, 'learning_rate': 0.0004998427549702284, 'epoch': 0.47}                                  
{'loss': 0.7959, 'grad_norm': 1.8303030729293823, 'learning_rate': 0.0004990730513838472, 'epoch': 0.63}                                  
{'loss': 0.6633, 'grad_norm': 1.6509231328964233, 'learning_rate': 0.0004976639808467957, 'epoch': 0.79}                                  
{'loss': 0.4846, 'grad_norm': 1.3879778385162354, 'learning_rate': 0.0004956191604229334, 'epoch': 0.95}                                  
{'loss': 0.268, 'grad_norm': 1.1021246910095215, 'learning_rate': 0.0004929438391369614, 'epoch': 1.09}                                   
{'loss': 0.2681, 'grad_norm': 0.995315432548523, 'learning_rate': 0.000489644884500251, 'epoch': 1.25}                                    
{'loss': 0.2351, 'grad_norm': 0.9832136631011963, 'learning_rate': 0.0004857307648820408, 'epoch': 1.41}                                  
{'loss': 0.2134, 'grad_norm': 1.058449625968933, 'learning_rate': 0.0004812115277712539, 'epoch': 1.57}                                   
{'loss': 0.2082, 'grad_norm': 0.9480652213096619, 'learning_rate': 0.0004760987739847383, 'epoch': 1.73}                                  
{'loss': 0.1705, 'grad_norm': 0.6370899081230164, 'learning_rate': 0.00047040562788813636, 'epoch': 1.89}                                 
{'loss': 0.1574, 'grad_norm': 0.8955295085906982, 'learning_rate': 0.00046414670370582633, 'epoch': 2.03}                                 
{'loss': 0.1339, 'grad_norm': 0.5941264629364014, 'learning_rate': 0.00045733806800641816, 'epoch': 2.19}                                 
{'loss': 0.1259, 'grad_norm': 0.9866048693656921, 'learning_rate': 0.00044999719846010197, 'epoch': 2.35}                                 
{'loss': 0.1121, 'grad_norm': 0.5172192454338074, 'learning_rate': 0.0004421429389737196, 'epoch': 2.51}                                  
{'loss': 0.1128, 'grad_norm': 0.7737565040588379, 'learning_rate': 0.0004337954513187261, 'epoch': 2.66}                                  
{'loss': 0.1054, 'grad_norm': 0.6779504418373108, 'learning_rate': 0.0004249761633762111, 'epoch': 2.82}
{'loss': 0.0995, 'grad_norm': 0.6460254192352295, 'learning_rate': 0.00041570771413183605, 'epoch': 2.98}                                 
{'loss': 0.0807, 'grad_norm': 0.5056444406509399, 'learning_rate': 0.0004060138955618821, 'epoch': 3.13}                                  
{'loss': 0.0801, 'grad_norm': 0.4466344118118286, 'learning_rate': 0.0003959195915595886, 'epoch': 3.28}                                  
{'loss': 0.0738, 'grad_norm': 0.3566420376300812, 'learning_rate': 0.0003854507140585557, 'epoch': 3.44}                                  
{'loss': 0.0844, 'grad_norm': 0.6260703802108765, 'learning_rate': 0.000374634136517183, 'epoch': 3.6}                                    
{'loss': 0.0838, 'grad_norm': 0.6181071400642395, 'learning_rate': 0.00036349762493488667, 'epoch': 3.76}                                 
{'loss': 0.073, 'grad_norm': 0.36352771520614624, 'learning_rate': 0.00035206976657717743, 'epoch': 3.92}                                 
{'loss': 0.0765, 'grad_norm': 0.6926754713058472, 'learning_rate': 0.00034037989659256, 'epoch': 4.06}                                    
{'loss': 0.0783, 'grad_norm': 0.3580470681190491, 'learning_rate': 0.0003284580227096273, 'epoch': 4.22}                                  
{'loss': 0.0666, 'grad_norm': 0.1951702982187271, 'learning_rate': 0.0003163347482076524, 'epoch': 4.38}                                  
